Event,Ardn_time_ms,ADC,SiPM_mV,Deadtime_ms,Temp_C
1,2548,51,15.86,0,22.72
2,3146,236,40.44,5,22.62
3,3472,345,64.98,10,22.72
4,4292,73,19.32,15,22.40
5,4327,79,20.03,20,22.62
6,4439,68,18.65,25,22.62
7,5336,428,101.58,30,22.40
8,5703,387,81.05,35,22.51
9,6131,185,31.51,40,22.62
10,7143,60,17.43,45,22.51
11,7527,53,16.22,50,22.51
12,8743,62,17.75,55,22.51
13,9148,60,17.43,60,22.62
14,9946,56,16.76,65,22.72
15,10914,263,45.37,70,22.40
16,11166,174,29.79,75,22.29
17,12328,120,23.58,80,22.51
18,12699,98,21.83,85,22.62
19,12785,127,24.18,90,22.83
20,13395,66,18.36,95,22.51
21,13816,227,38.83,101,22.51
22,14074,217,37.04,106,22.72
23,14792,60,17.43,111,22.51
24,16404,92,21.32,116,22.51
25,16954,376,76.43,121,22.51
26,17077,217,37.04,126,22.62
27,17303,233,39.92,131,22.62
28,18388,504,143.61,136,22.62
29,18786,88,20.96,141,22.62
30,19407,85,20.67,146,22.72
31,19774,115,23.18,151,22.62
32,20424,99,21.91,156,22.40
33,20507,103,22.23,161,22.62
34,21272,97,21.75,166,22.62
35,23860,76,19.69,171,22.62
36,24069,195,33.17,176,22.62
37,24321,172,29.49,181,22.51
38,24426,448,112.41,186,22.51
39,24512,103,22.23,191,22.51
40,24658,124,23.92,196,22.51
41,26119,69,18.79,201,22.72
42,26437,50,15.67,206,22.62
43,27472,85,20.67,211,22.72
44,27852,63,17.91,216,22.94
45,28322,79,20.03,221,22.72
46,28379,391,82.35,226,22.83
47,29108,79,20.03,231,22.51
48,29633,99,21.91,236,22.94
49,30146,51,15.86,241,22.62
50,30756,92,21.32,246,22.94
51,30815,165,28.48,251,22.72
52,31657,49,15.48,256,22.83
53,31687,221,37.76,261,22.72
54,31840,143,25.74,266,22.83
55,32179,60,17.43,271,22.51
56,32581,480,130.21,276,23.05
57,32914,184,31.36,281,22.83
58,33094,120,23.58,286,22.72
59,33157,486,135.98,291,22.51
60,33577,63,17.91,296,22.94
61,34076,63,17.91,301,22.62
62,34290,96,21.67,306,22.72
63,34748,53,16.22,311,22.72
64,35113,96,21.67,316,22.72
65,35524,83,20.46,321,22.72
66,35915,159,27.66,326,22.51
67,36287,58,17.10,331,22.62
68,36547,63,17.91,336,22.83
69,37124,71,19.06,341,22.72
70,37679,56,16.76,346,22.72
71,38009,63,17.91,351,22.62
72,38415,335,61.77,356,22.72
73,39021,271,46.93,361,22.72
74,39259,58,17.10,366,22.51
75,39380,113,23.02,371,22.72
76,39773,67,18.51,376,22.51
77,41986,71,19.06,381,22.72
78,43142,71,19.06,386,22.51
79,43495,224,38.29,391,22.62
80,43529,344,64.67,396,22.72
81,43595,79,20.03,401,22.62
82,43917,131,24.54,406,22.83
83,44064,143,25.74,411,22.51
84,44481,67,18.51,416,22.83
85,45327,61,17.60,421,22.62
86,45891,124,23.92,426,22.62
87,45901,318,57.28,431,22.62
88,46060,127,24.18,436,22.83
89,46225,63,17.91,441,22.72
90,46249,126,24.09,446,22.72
91,47021,77,19.81,451,22.72
92,47502,92,21.32,456,22.62
93,47536,199,33.86,461,22.83
94,48886,49,15.48,466,22.83
95,48922,71,19.06,471,22.83
96,49001,78,19.92,476,22.83
97,50292,305,53.88,481,22.72
98,50671,63,17.91,486,22.62
99,51206,63,17.91,491,22.62
100,52457,188,32.01,496,22.94
101,52839,135,24.92,501,22.94
102,53929,89,21.05,506,22.72
103,53958,63,17.91,511,22.94
104,54764,135,24.92,516,23.15
105,55004,263,45.37,521,22.94
106,55431,89,21.05,526,22.94
107,56129,112,22.94,531,22.72
108,57052,102,22.15,536,22.62
109,57116,505,145.23,541,22.83
110,57306,280,48.67,546,22.72
111,58702,71,19.06,551,22.72
112,59468,53,16.22,556,22.72
113,59762,114,23.10,561,22.72
114,59799,504,143.61,566,22.72
115,60822,255,43.96,571,22.62
116,61244,300,52.79,576,22.83
117,61420,98,21.83,581,22.94
118,62223,159,27.66,586,22.62
119,62607,108,22.63,591,22.72
120,62874,79,20.03,596,22.72
121,63090,242,41.58,601,22.62
122,63341,56,16.76,606,22.83
123,63354,50,15.67,611,23.15
124,64994,174,29.79,616,22.83
125,65181,142,25.64,621,22.62
126,65209,238,40.82,626,22.72
127,66056,50,15.67,631,22.94
128,66571,101,22.08,636,22.83
129,67211,280,48.67,641,22.72
130,68097,146,26.08,646,22.62
131,68198,67,18.51,651,22.83
132,68532,67,18.51,656,22.94
133,68549,51,15.86,661,22.72
134,68646,92,21.32,666,23.15
135,69253,319,57.64,671,22.94
136,70083,79,20.03,676,22.62
137,71614,62,17.75,681,22.83
138,71849,195,33.17,686,22.72
139,72155,153,26.90,691,22.83
140,73501,99,21.91,696,22.62
141,74782,271,46.93,701,23.05
142,75467,262,45.24,706,22.83
143,75479,62,17.75,712,23.05
144,76084,76,19.69,717,22.83
145,76481,313,56.02,722,23.05
146,76570,71,19.06,727,22.94
147,77235,67,18.51,732,22.72
148,77545,79,20.03,737,22.72
149,77877,71,19.06,742,22.83
150,78010,51,15.86,747,22.83
151,78265,56,16.76,752,22.83
152,78579,221,37.76,757,22.83
153,79479,327,59.28,762,22.83
154,81457,81,20.25,767,22.94
155,82001,61,17.60,772,23.05
156,82140,664,270.86,777,22.83
157,82263,70,18.93,782,22.83
158,83088,71,19.06,787,23.05
159,83124,127,24.18,792,23.05
160,84119,217,37.04,797,22.72
161,84400,163,28.20,802,22.83
162,85220,82,20.36,807,22.83
163,85587,92,21.32,812,22.83
164,85755,295,51.75,817,22.83
165,86801,83,20.46,822,22.83
166,87161,91,21.23,827,22.72
167,88035,63,17.91,832,22.72
168,89325,79,20.03,837,22.83
169,89521,295,51.75,842,22.72
170,89958,448,112.41,847,22.72
171,90424,568,189.84,852,22.62
172,91046,207,35.26,857,22.83
173,91409,307,54.48,862,22.83
174,91906,391,82.35,867,22.83
175,92039,423,97.36,872,22.83
176,92698,275,47.73,877,22.94
177,93860,108,22.63,882,22.94
178,95060,82,20.36,887,22.62
179,95503,143,25.74,892,23.05
180,95729,280,48.67,897,23.15
181,96340,115,23.18,902,22.94
182,96640,51,15.86,907,22.94
183,96773,121,23.66,912,23.05
184,97508,109,22.70,917,22.94
185,98366,79,20.03,922,22.72
186,99457,81,20.25,927,23.05
187,99509,77,19.81,932,22.83
188,100237,63,17.91,937,22.83
189,100811,113,23.02,942,22.83
190,101099,85,20.67,947,22.83
191,101730,124,23.92,952,22.83
192,102071,79,20.03,957,22.94
193,102542,103,22.23,962,22.83
194,102845,305,53.88,967,22.83
195,103023,363,71.20,972,22.83
196,103936,76,19.69,977,22.94
197,103995,211,35.96,982,22.72
198,104321,83,20.46,987,22.83
199,105003,287,50.23,992,23.15
200,105436,71,19.06,997,22.83
201,105495,110,22.78,1002,23.05
202,106000,255,43.96,1007,22.94
203,106038,167,28.76,1012,22.83
204,106087,110,22.78,1017,22.94
205,106485,79,20.03,1022,22.83
206,106823,63,17.91,1027,23.05
207,108561,124,23.92,1033,23.05
208,108948,50,15.67,1039,22.94
209,108956,88,20.96,1044,23.15
210,109330,265,45.75,1049,23.05
211,109934,352,66.89,1055,22.94
212,109962,339,62.98,1060,22.83
213,110744,127,24.18,1065,22.83
214,111973,99,21.91,1070,22.94
215,112497,78,19.92,1075,23.05
216,113874,97,21.75,1080,22.83
217,113994,88,20.96,1085,22.94
218,114074,143,25.74,1090,22.72
219,115614,67,18.51,1095,22.72
220,115874,106,22.47,1101,22.94
221,116852,76,19.69,1106,23.05
222,117214,96,21.67,1111,22.94
223,117319,501,142.90,1116,23.05
224,117499,287,50.23,1122,23.05
225,118181,63,17.91,1127,22.94
226,118203,70,18.93,1133,23.15
227,118544,231,39.55,1139,22.83
228,118712,432,101.61,1144,23.05
229,118974,271,46.93,1149,23.15
230,119258,126,24.09,1155,22.94
231,119313,177,30.25,1161,23.15
232,119895,63,17.91,1166,22.72
233,119962,57,16.93,1172,22.94
234,120274,61,17.60,1177,23.05
235,121099,284,49.41,1183,23.15
236,121923,101,22.08,1188,23.15
237,122073,57,16.93,1193,23.15
238,123436,60,17.43,1198,22.94
239,123795,312,55.68,1204,22.94
240,124083,249,42.85,1209,23.15
241,125508,127,24.18,1214,23.05
242,125936,127,24.18,1219,23.05
243,126112,60,17.43,1224,23.15
244,126425,127,24.18,1230,22.83
245,126540,124,23.92,1235,22.94
246,126560,179,30.55,1241,23.05
247,127788,69,18.79,1246,23.05
248,129409,108,22.63,1251,23.05
249,129420,316,56.81,1256,22.94
250,129598,352,66.89,1261,22.94
251,131026,323,58.48,1266,23.15
252,131474,408,90.57,1271,22.94
253,133703,108,22.63,1276,22.94
254,133749,79,20.03,1281,22.94
255,133854,103,22.23,1286,22.94
256,134185,281,48.90,1291,23.15
257,134977,108,22.63,1297,22.94
258,135436,481,129.57,1302,22.94
259,136064,114,23.10,1308,23.05
260,137201,230,39.39,1313,23.05
261,138209,78,19.92,1318,22.94
262,138326,83,20.46,1323,22.94
263,138635,149,26.42,1328,22.72
264,138754,94,21.50,1333,22.94
265,139675,327,59.28,1338,22.94
266,139961,83,20.46,1343,22.72
267,140188,245,42.08,1348,23.05
268,140429,263,45.37,1354,22.94
269,140962,397,85.55,1360,22.72
270,141166,309,55.01,1365,22.94
271,142735,79,20.03,1370,22.94
272,142754,57,16.93,1375,23.15
273,142834,63,17.91,1380,23.05
274,143046,85,20.67,1386,22.94
275,143678,75,19.57,1391,23.05
276,143789,124,23.92,1396,22.83
277,143822,62,17.75,1402,23.05
278,144300,109,22.70,1408,22.94
279,144409,199,33.86,1413,22.94
280,144695,184,31.36,1418,22.83
281,144896,218,37.23,1423,22.94
282,146376,355,68.30,1428,22.94
283,146961,63,17.91,1433,22.94
284,147733,113,23.02,1439,22.83
285,148808,66,18.36,1444,23.05
286,149188,127,24.18,1450,23.15
287,150148,300,52.79,1455,23.15
288,152237,57,16.93,1460,23.15
289,152647,92,21.32,1465,22.94
290,152836,131,24.54,1470,23.15
291,153776,96,21.67,1476,22.94
292,155092,112,22.94,1481,22.83
293,155749,57,16.93,1486,22.94
294,155919,271,46.93,1491,23.15
295,157528,49,15.48,1497,22.94
296,157931,280,48.67,1502,23.15
297,158135,391,82.35,1508,22.94
298,159312,99,21.91,1513,23.05
299,159788,131,24.54,1518,23.05
300,161249,120,23.58,1524,22.94
301,161384,51,15.86,1530,22.83
302,161589,409,91.12,1535,22.94
303,162192,67,18.51,1540,23.15
304,162255,368,72.93,1546,23.15
305,162422,255,43.96,1551,22.94
306,162617,195,33.17,1556,23.05
307,162683,83,20.46,1561,23.15
308,163269,355,68.30,1566,22.94
309,163477,71,19.06,1571,23.05
310,163594,63,17.91,1576,23.15
311,163629,93,21.41,1582,22.94
312,164612,99,21.91,1587,23.05
313,164848,90,21.14,1592,22.83
314,164908,60,17.43,1597,22.72
315,165411,252,43.42,1603,22.94
316,165555,141,25.53,1609,23.15
317,165944,62,17.75,1614,23.05
318,167047,71,19.06,1620,23.05
319,167512,344,64.67,1625,23.05
320,167876,134,24.82,1630,23.15
321,167976,231,39.55,1636,22.94
322,168003,73,19.32,1641,23.15
323,168129,287,50.23,1646,23.05
324,168273,451,113.08,1651,23.05
325,171688,89,21.05,1656,23.15
326,172205,319,57.64,1661,22.83
327,172852,74,19.44,1666,22.83
328,173282,147,26.19,1671,22.94
329,173438,83,20.46,1676,23.05
330,173450,51,15.86,1681,22.94
331,173887,56,16.76,1686,22.94
332,174320,143,25.74,1691,22.83
333,174555,96,21.67,1696,23.05
334,174716,79,20.03,1701,23.15
335,175117,135,24.92,1706,23.15
336,175699,103,22.23,1712,22.83
337,176038,159,27.66,1717,23.05
338,176694,173,29.64,1722,22.94
339,176933,89,21.05,1727,23.05
340,177590,78,19.92,1732,22.94
341,177686,561,174.17,1737,23.05
342,178243,327,59.28,1743,23.15
343,178276,59,17.27,1748,22.94
344,178653,71,19.06,1754,23.05
345,178682,71,19.06,1759,23.05
346,179777,193,32.84,1764,23.15
347,179932,94,21.50,1769,22.94
348,181385,817,712.06,1774,23.15
349,181537,51,15.86,1779,23.05
350,181982,89,21.05,1784,22.83
351,182472,70,18.93,1789,23.15
352,182501,287,50.23,1794,23.15
353,183015,49,15.48,1799,23.15
354,183034,88,20.96,1804,23.15
355,183556,184,31.36,1809,23.15
356,184851,76,19.69,1814,23.05
357,185170,63,17.91,1819,23.15
358,185263,281,48.90,1825,23.15
359,185521,156,27.28,1831,23.05
360,185790,457,118.95,1836,22.94
361,186614,51,15.86,1842,23.15
362,186701,99,21.91,1847,23.15
363,186977,213,36.33,1852,22.94
364,187103,127,24.18,1857,22.94
365,187423,231,39.55,1862,23.15
366,187860,79,20.03,1867,23.15
367,188397,63,17.91,1872,23.15
368,189585,396,85.28,1878,23.05
369,191663,53,16.22,1883,23.15
370,191727,440,109.25,1888,23.15
371,192023,49,15.48,1893,23.05
372,192114,53,16.22,1898,22.83
373,192390,92,21.32,1903,22.83
374,193028,82,20.36,1908,22.94
375,193316,281,48.90,1913,23.15
376,193458,71,19.06,1919,23.15
377,193545,346,64.94,1924,23.15
378,193702,504,143.61,1929,23.05
379,194456,295,51.75,1935,23.15
380,194751,152,26.78,1940,23.15
381,195723,103,22.23,1945,23.05
382,195881,254,43.77,1950,23.15
383,196622,291,50.97,1955,22.94
384,197074,346,64.94,1960,23.05
385,197354,265,45.75,1965,22.72
386,198169,188,32.01,1971,23.15
387,198933,81,20.25,1976,22.94
388,199196,135,24.92,1981,23.05
389,199291,103,22.23,1987,23.05
390,199497,62,17.75,1992,23.15
391,199949,115,23.18,1998,23.15
392,200197,60,17.43,2003,23.05
393,200599,51,15.86,2009,23.15
394,200833,101,22.08,2014,23.15
395,201544,146,26.08,2019,23.05
396,202365,103,22.23,2024,23.05
397,202907,85,20.67,2029,23.05
398,204561,391,82.35,2034,23.05
399,204596,254,43.77,2039,23.15
400,204952,121,23.66,2045,23.15
401,204960,91,21.23,2051,23.15
402,205058,83,20.46,2056,23.37
403,205090,51,15.86,2061,23.15
404,205184,403,88.99,2066,23.15
405,205440,448,112.41,2071,23.15
406,205702,53,16.22,2076,22.94
407,205834,89,21.05,2081,22.94
408,206344,179,30.55,2086,23.05
409,208234,71,19.06,2091,23.15
410,209290,568,189.84,2096,23.05
411,209731,67,18.51,2101,23.15
412,210694,92,21.32,2107,22.94
413,211072,70,18.93,2112,23.15
414,211428,60,17.43,2117,23.15
415,211943,153,26.90,2123,22.94
416,211960,350,66.46,2128,23.15
417,212063,62,17.75,2133,22.94
418,212669,472,125.87,2139,23.15
419,212981,127,24.18,2145,23.15
420,213233,133,24.73,2150,23.05
421,213256,345,64.98,2156,22.94
422,213767,71,19.06,2161,22.94
423,214102,112,22.94,2166,23.15
424,214140,253,43.55,2171,23.05
425,214165,51,15.86,2177,23.15
426,215212,345,64.98,2182,23.15
427,215221,61,17.60,2187,22.83
428,215866,323,58.48,2193,23.05
429,215970,249,42.85,2198,23.15
430,216065,71,19.06,2204,23.15
431,216151,133,24.73,2209,22.94
432,217456,115,23.18,2215,23.05
433,218157,53,16.22,2220,23.15
434,218536,63,17.91,2225,23.05
435,218995,51,15.86,2231,23.05
436,220727,96,21.67,2236,22.83
437,220987,60,17.43,2241,23.05
438,221846,97,21.75,2247,23.15
439,222195,231,39.55,2252,22.94
440,222210,67,18.51,2257,23.05
441,222743,344,64.67,2263,23.26
442,222909,78,19.92,2268,23.05
443,223062,60,17.43,2273,23.05
444,223488,94,21.50,2279,23.15
445,223646,399,87.30,2284,22.72
446,223794,67,18.51,2289,23.05
447,224064,403,88.99,2295,22.83
448,224188,56,16.76,2300,22.83
449,224642,60,17.43,2305,22.83
450,224852,94,21.50,2311,22.94
451,225373,51,15.86,2316,22.83
452,227222,216,36.85,2321,23.15
453,227329,63,17.91,2326,23.05
454,227549,71,19.06,2332,23.05
455,228098,69,18.79,2337,22.94
456,230053,142,25.64,2343,22.83
457,230609,216,36.85,2348,22.72
458,231964,248,42.69,2353,22.72
459,232286,536,160.18,2359,22.94
460,232469,240,41.21,2365,22.94
461,232873,282,49.11,2371,22.94
462,233682,63,17.91,2377,23.05
463,233737,377,76.28,2383,23.15
464,234944,71,19.06,2388,22.83
465,236015,188,32.01,2393,23.05
466,237010,60,17.43,2398,22.94
467,237027,71,19.06,2404,22.83
468,238246,103,22.23,2409,22.83
469,238384,79,20.03,2414,23.15
470,239723,79,20.03,2419,22.51
471,239883,79,20.03,2424,22.72
472,240685,52,16.04,2429,22.94
473,240863,156,27.28,2434,22.83
474,241863,75,19.57,2439,22.83
475,241940,227,38.83,2444,23.05
476,242536,121,23.66,2449,22.62
477,242627,69,18.79,2455,22.62
478,243033,60,17.43,2461,22.62
479,243762,89,21.05,2467,22.94
480,243982,114,23.10,2472,22.83
481,245221,71,19.06,2477,22.83
482,246238,75,19.57,2482,22.94
483,246612,73,19.32,2487,22.83
484,247789,68,18.65,2492,22.94
485,248444,440,109.25,2498,22.94
486,249942,140,25.42,2503,22.83
487,251276,85,20.67,2509,22.94
488,251310,287,50.23,2514,23.15
489,251506,167,28.76,2519,22.83
490,251776,53,16.22,2524,22.94
491,252145,63,17.91,2529,22.94
492,252719,56,16.76,2535,22.72
493,253173,254,43.77,2540,22.94
494,253704,83,20.46,2545,23.05
495,254027,71,19.06,2550,22.72
496,254062,218,37.23,2555,22.83
497,254907,125,24.00,2560,22.72
498,255233,309,55.01,2566,23.15
499,255351,390,82.70,2571,22.83
500,256228,92,21.32,2576,22.83
501,256285,60,17.43,2581,22.83
502,256478,615,227.36,2587,22.83
503,257693,71,19.06,2592,23.05
504,257951,85,20.67,2597,23.05
505,258308,154,27.02,2602,22.83
506,258513,135,24.92,2607,22.94
507,258835,67,18.51,2613,22.94
508,258882,56,16.76,2619,22.83
509,259141,79,20.03,2624,22.62
510,259203,71,19.06,2629,22.83
511,259513,121,23.66,2634,23.05
512,259841,261,45.09,2640,23.15
513,261157,99,21.91,2646,22.83
514,261509,56,16.76,2651,22.94
515,262631,184,31.36,2656,23.05
516,262640,83,20.46,2661,22.72
517,262824,78,19.92,2666,23.05
518,263129,419,97.20,2671,23.05
519,263265,94,21.50,2676,22.94
520,263848,49,15.48,2681,22.94
521,265320,408,90.57,2686,22.94
522,266145,112,22.94,2691,23.05
523,267105,269,46.58,2696,23.15
524,267593,93,21.41,2702,23.05
525,267709,88,20.96,2707,22.83
526,268918,50,15.67,2712,23.05
527,269101,510,148.47,2717,23.05
528,269546,166,28.62,2722,22.94
529,269891,71,19.06,2727,22.94
530,270970,107,22.55,2732,22.94
531,271249,108,22.63,2737,23.15
532,271287,71,19.06,2742,23.05
533,272344,240,41.21,2747,23.05
534,272377,185,31.51,2753,23.15
535,272615,103,22.23,2758,23.15
536,274016,67,18.51,2763,23.05
537,274208,71,19.06,2769,22.94
538,274907,140,25.42,2774,23.05
539,275649,62,17.75,2780,22.94
540,275816,575,187.30,2786,23.05
541,276357,49,15.48,2791,23.05
542,276732,57,16.93,2796,22.83
543,276905,140,25.42,2801,23.15
544,277002,238,40.82,2807,23.15
545,277978,271,46.93,2813,23.15
546,278120,483,132.60,2819,22.94
547,279524,71,19.06,2825,22.94
548,279788,199,33.86,2830,23.05
549,279949,102,22.15,2836,23.15
550,281209,51,15.86,2841,23.05
551,281558,57,16.93,2846,23.15
552,282161,89,21.05,2851,22.72
553,282432,195,33.17,2856,23.15
554,282793,88,20.96,2861,23.05
555,283096,280,48.67,2866,22.94
556,283746,56,16.76,2872,22.94
557,285441,131,24.54,2877,22.94
558,285883,53,16.22,2883,23.15
559,286419,227,38.83,2888,23.05
560,287410,63,17.91,2893,23.15
561,287425,56,16.76,2899,23.05
562,287460,63,17.91,2905,23.05
563,288543,51,15.86,2911,23.15
564,290274,519,154.30,2916,22.94
565,290355,281,48.90,2922,23.05
566,291408,149,26.42,2928,23.15
567,291432,252,43.42,2933,22.83
568,291446,159,27.66,2939,22.83
569,292381,490,139.21,2944,22.94
570,292942,71,19.06,2950,23.05
571,293009,179,30.55,2955,22.94
572,293547,60,17.43,2960,23.15
573,293597,268,46.26,2966,23.05
574,293638,50,15.67,2972,23.15
575,294979,110,22.78,2977,22.83
576,295529,53,16.22,2982,22.94
577,295648,60,17.43,2987,23.15
578,296045,63,17.91,2993,23.15
579,296185,76,19.69,2999,23.05
580,297075,56,16.76,3004,23.05
581,297668,152,26.78,3009,23.15
582,298500,89,21.05,3014,23.05
583,298819,83,20.46,3019,23.05
584,299328,88,20.96,3024,23.05
585,299931,56,16.76,3029,22.94
586,300404,67,18.51,3034,22.94
587,301189,79,20.03,3040,23.15
588,301389,240,41.21,3045,22.94
589,301708,211,35.96,3051,22.83
590,302665,62,17.75,3056,22.94
591,305319,569,185.56,3062,23.05
592,306188,89,21.05,3067,23.15
593,306210,59,17.27,3072,23.15
594,307365,85,20.67,3078,23.05
595,307786,62,17.75,3083,22.94
596,308564,357,68.97,3089,23.15
597,309138,50,15.67,3094,22.83
598,309524,97,21.75,3099,23.05
599,309767,63,17.91,3104,23.05
600,310894,108,22.63,3110,22.94
601,310929,113,23.02,3115,23.15
602,311250,224,38.29,3120,22.94
603,311312,71,19.06,3125,22.83
604,312768,216,36.85,3130,23.15
605,312982,90,21.14,3135,22.83
606,313046,70,18.93,3140,23.15
607,313479,56,16.76,3145,22.72
608,313688,216,36.85,3150,23.05
609,314027,88,20.96,3155,22.62
610,314089,61,17.60,3160,22.72
611,314117,120,23.58,3166,22.72
